"Story","Title","Result","Date","Stability","Duration (s)"
"Agregar productos al carrito de compras.","Usuario sin autenticarse selecciona una categoria y un producto y lo agrega al carrito de compras.","SUCCESS","2023-08-07T15:51:36.0376665-05:00[America/Bogota]","0.0","28.14"
"Agregar productos al carrito de compras.","Usuario sin autenticarse selecciona una categoria y un producto y lo agrega al carrito de compras.","SUCCESS","2023-08-07T15:51:36.0376665-05:00[America/Bogota]","0.0","28.14"
"Agregar productos al carrito de compras.","Usuario sin autenticarse selecciona una categoria y un producto y lo agrega al carrito de compras.","SUCCESS","2023-08-07T15:51:36.0376665-05:00[America/Bogota]","0.0","28.14"
