"Story","Title","Result","Date","Stability","Duration (s)"
"Agregar productos al carrito de compras.","Usuario sin autenticarse selecciona un producto aleatorio y lo agrega al carrito de compras.","SUCCESS","2023-08-07T15:50:49.539168-05:00[America/Bogota]","0.0","11.67"
"Agregar productos al carrito de compras.","Usuario sin autenticarse selecciona un producto y agrega cierta cantidad al carrito de compras.","SUCCESS","2023-08-07T15:51:01.232696-05:00[America/Bogota]","0.0","34.8"
"Agregar productos al carrito de compras.","Usuario sin autenticarse selecciona una categoria y un producto y lo agrega al carrito de compras.","SUCCESS","2023-08-07T15:51:36.0376665-05:00[America/Bogota]","0.0","28.14"
"Agregar productos al carrito de compras.","Un usuario autenticado agrega productos, cierra sesion y vuelve a abrirla debe seguir viendo los productos agregados en el carrito.","SUCCESS","2023-08-07T15:52:04.1848404-05:00[America/Bogota]","0.0","77.56"
